ticker,name,market,fund_type,is_leveraged_inverse,issuer,tracked_index,inception_date,listing_date,data_start_date,category_raw,twse_levinv_flag,units_issued,full_name,en_name,source
00672L,元大S&amp;P原油正2,TWSE,leveraged,True,劉宗聖,標普高盛原油日報酬正向兩倍ER指數,2016-09-30,2016-10-07,2024-01-01,槓桿/反向指數股票型基金,是,2036187000,元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日正向2倍指數股票型期貨信託基金,Yuanta S&amp;P GSCI Crude Oil 2x Leveraged ER Futures ETF,twse_opendata
00673R,期元大S&amp;P原油反1(原名：元大S&amp;P原油反1),TWSE,leveraged,True,劉宗聖,標普高盛原油日報酬反向一倍ER指數,2016-09-30,2016-10-07,2024-01-01,槓桿/反向指數股票型基金,是,849050646,元大標普油金傘型期貨信託基金之元大標普高盛原油ER單日反向1倍指數股票型期貨信託基金,Yuanta S&amp;P GSCI Crude Oil 1x Inverse ER Futures ETF,twse_opendata
00674R,期元大S&amp;P黃金反1(原名：元大S&amp;P黃金反1),TWSE,leveraged,True,劉宗聖,標普高盛黃金日報酬反向一倍ER指數,2016-09-30,2016-10-07,2024-01-01,槓桿/反向指數股票型基金,是,16420555,元大標普油金傘型期貨信託基金之元大標普高盛黃金ER單日反向1倍指數股票型期貨信託基金,Yuanta S&amp;P GSCI Gold 1x Inverse ER FuturesETF,twse_opendata
00675L,FB臺灣加權正2,TWSE,leveraged,True,黃昭棠,臺灣證券交易所發行量加權股價日報酬正向兩倍指數,2016-09-23,2016-10-05,2024-01-01,槓桿/反向指數股票型基金,否,109786000,富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日正向兩倍證券投資信託基金,Fubon TAIEX Daily 2X  Leveraged ETF,twse_opendata
00676R,富邦臺灣加權反1,TWSE,leveraged,True,黃昭棠,臺灣證券交易所發行量加權股價日報酬反向一倍指數,2016-09-23,2016-10-05,2024-01-01,槓桿/反向指數股票型基金,否,172833683,富邦臺灣加權ETF傘型證券投資信託基金之富邦臺灣加權單日反向一倍證券投資信託基金,Fubon TAIEX Daily-1X Inverse ETF,twse_opendata
00677U,期富邦VIX,TWSE,commodity,False,史綱,標普500波動率短期期貨ER指數,2016-12-22,2016-12-30,2024-01-01,指數股票型期貨信託基金,是,1486708000,富邦標普500波動率短期期貨ER指數股票型期貨信託基金,Fubon S&amp;P 500 VIX  Short-Term Futures ETF,twse_opendata
00678,群益那斯達克生技,TWSE,passive_equity,False,賴政昇,那斯達克生技指數(NBI),2017-01-09,2017-01-16,2024-01-01,國外成分證券指數股票型基金,是,7948000,群益那斯達克生技證券投資信託基金,CAPITAL NASDAQ BIOTECHNOLOGY INDEX EXCHANGE,twse_opendata
00679B,元大美債20年,TPEx,bond,False,元大,ICE 20+年期美國公債指數,2017-01-11,2017-01-17,2024-01-01,債券型,,,元大美債20年,,tpex_seed
00680L,元大美債20正2,TWSE,leveraged,True,劉宗聖,ICE美國政府20+年期債券2倍槓桿指數,2017-01-11,2017-01-17,2024-01-01,槓桿/反向指數股票型基金,是,1875576000,元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日正向2倍證券投資信託基金,Yuanta Daily U.S. Treasury 20+ Year Bond Bull 2X ETF,twse_opendata
00681R,元大美債20反1,TWSE,leveraged,True,劉宗聖,ICE美國政府20+年期債券1倍反向指數,2017-01-11,2017-01-17,2024-01-01,槓桿/反向指數股票型基金,是,7594000,元大美國政府20年期(以上)債券ETF傘型證券投資信託基金之元大美國政府20年期(以上)債券單日反向1倍證券投資信託基金,Yuanta Daily U.S. Treasury 20+ Year Bond Bear 1X ETF,twse_opendata
