config,date,plan,return_3m_pct,max_dd_3m_pct,end_deployed_pct,fully_deployed_day
warm_near_high,2021-01-15,cash_wait,4.0881022192161165,-5.1601944842598275,0.0,-1
warm_near_high,2021-01-15,time_10_monthly,5.538797663379547,-5.983792711848912,40.0,63
warm_near_high,2021-01-15,time_5_weekly,6.035393774092568,-5.741347207128856,40.0,49
warm_near_high,2021-01-15,dip_3_6_10_time,6.212142526640818,-6.419557815744481,40.0,42
warm_near_high,2021-01-15,dip_5_10_15_or_end,4.963149658450217,-5.666041003982347,40.0,63
warm_near_high,2021-01-15,wait_20d_then_all,4.694603768382621,-6.014013368512194,40.0,20
warm_near_high,2021-01-15,wait_40d_then_all,6.8561563094302835,-5.1601944842598275,40.0,40
warm_near_high,2021-04-15,immediate_40,1.977732196705917,-10.44248112522148,40.0,0
warm_near_high,2021-04-15,cash_wait,1.1866393180235413,-6.304768486549806,0.0,-1
warm_near_high,2021-04-15,time_10_monthly,2.817403698108323,-7.344052838810566,40.0,63
warm_near_high,2021-04-15,time_5_weekly,2.8258615602086756,-7.7193166669383135,40.0,49
warm_near_high,2021-04-15,dip_3_6_10_time,4.202273169657977,-8.016086927781041,40.0,21
warm_near_high,2021-04-15,dip_5_10_15_or_end,3.9633483346421583,-7.057472195769177,40.0,63
warm_near_high,2021-04-15,wait_20d_then_all,5.17268821097292,-7.057602213522451,40.0,20
warm_near_high,2021-04-15,wait_40d_then_all,2.2583278470085677,-6.304768486549806,40.0,40
warm_near_high,2023-06-09,immediate_40,-1.7151861726744988,-5.6360653931088915,40.0,0
warm_near_high,2023-06-09,cash_wait,-1.0291117036046904,-3.4277747628379207,0.0,-1
warm_near_high,2023-06-09,time_10_monthly,-1.6953652851332435,-4.792521321127873,40.0,63
warm_near_high,2023-06-09,time_5_weekly,-2.1062540323475654,-5.067900408973392,40.0,49
warm_near_high,2023-06-09,dip_3_6_10_time,-1.6548976617235422,-4.91152946958171,40.0,63
warm_near_high,2023-06-09,dip_5_10_15_or_end,-1.0351664317343245,-3.5286160804424593,40.0,63
warm_near_high,2023-06-09,wait_20d_then_all,-2.141184054574141,-5.6360653931088915,40.0,20
warm_near_high,2023-06-09,wait_40d_then_all,-2.0982914702812328,-4.721503418726214,40.0,40
warm_near_high,2024-02-23,immediate_40,20.486961574298878,-7.840737741226789,40.0,0
warm_near_high,2024-02-23,cash_wait,12.292176944579314,-4.940496897851321,0.0,-1
warm_near_high,2024-02-23,time_10_monthly,16.43328484896869,-6.413256314579585,40.0,63
warm_near_high,2024-02-23,time_5_weekly,17.16279954454938,-6.971733339708375,40.0,49
warm_near_high,2024-02-23,dip_3_6_10_time,17.686026368814446,-6.309101220688396,40.0,42
warm_near_high,2024-02-23,dip_5_10_15_or_end,13.983472597700676,-5.403904911076795,40.0,63
warm_near_high,2024-02-23,wait_20d_then_all,16.2794763272627,-7.840737741226766,40.0,20
warm_near_high,2024-02-23,wait_40d_then_all,16.60301881568205,-4.940496897851321,40.0,40
warm_near_high,2024-05-28,immediate_40,6.198089147973707,-21.301502882984302,40.0,0
warm_near_high,2024-05-28,cash_wait,3.718853488784224,-13.572135037657972,0.0,-1
warm_near_high,2024-05-28,time_10_monthly,4.3978922664381415,-18.59923401739213,40.0,63
warm_near_high,2024-05-28,time_5_weekly,4.090752144469256,-19.81562906305212,40.0,49
warm_near_high,2024-05-28,dip_3_6_10_time,4.733826666669372,-20.418252340827703,40.0,38
warm_near_high,2024-05-28,dip_5_10_15_or_end,3.786768093666182,-18.327020160810903,40.0,45
warm_near_high,2024-05-28,wait_20d_then_all,3.4135048500948395,-21.301502882984302,40.0,20
warm_near_high,2024-05-28,wait_40d_then_all,4.612710367466,-17.677060942353418,40.0,40
warm_near_high,2025-09-23,immediate_40,10.17964515734695,-8.030889760978067,40.0,0
warm_near_high,2025-09-23,cash_wait,6.107787094408179,-5.013660113955498,0.0,-1
